mean_1	cx	mut_pb	t_size	k	avg_val	std_val
20	cxOnePoint	0.1	4	5	1.86350264267	0.0016582851446
20	cxOnePoint	0.1	4	7	1.87472609607	0.00627069057461
20	cxOnePoint	0.1	6	1	1.81605849929	0.00671807770945
20	cxOnePoint	0.1	6	3	1.86028368228	0.00221216813639
20	cxOnePoint	0.1	6	5	1.87084514014	0.00501920151999
20	cxOnePoint	0.1	6	7	1.87060381276	0.00273446029756
20	cxOnePoint	0.1	8	1	1.82414740562	0.0168238122253
20	cxOnePoint	0.1	8	3	1.85558680482	0.0103200326799
20	cxOnePoint	0.1	8	5	1.86752965424	0.00309003204934
20	cxOnePoint	0.1	8	7	1.86865885139	0.00925697806549
20	cxOnePoint	0.125	2	1	1.83492311913	0.00786653695741
20	cxOnePoint	0.125	2	3	1.86883024186	0.00410999281882
20	cxOnePoint	0.125	2	5	1.86897735653	0.00252315058748
20	cxOnePoint	0.125	2	7	1.87987883585	0.00374508203553
20	cxOnePoint	0.125	4	1	1.82401927977	0.00315784091192
20	cxOnePoint	0.125	4	3	1.86232736139	0.00522887484639
20	cxOnePoint	0.125	4	5	1.87087028311	0.00351511109093
20	cxOnePoint	0.125	4	7	1.86779625001	0.00803272513608
20	cxOnePoint	0.125	6	1	1.82615212288	0.00869945104637
20	cxOnePoint	0.125	6	3	1.85724207362	0.0101398884318
20	cxOnePoint	0.125	6	5	1.86504901126	0.0028999345186
20	cxOnePoint	0.125	6	7	1.87728245369	0.00699892142695
20	cxOnePoint	0.125	8	1	1.80949962298	0.00573568719663
20	cxOnePoint	0.125	8	3	1.85981252108	0.00579229175066
20	cxOnePoint	0.125	8	5	1.86573559023	0.00456291563624
20	cxOnePoint	0.125	8	7	1.8761202381	0.00986377142964
20	cxOnePoint	0.15	2	1	1.83699173778	0.00484231587394
20	cxOnePoint	0.15	2	3	1.86772050114	0.00665997392496
20	cxOnePoint	0.15	2	5	1.87720017191	0.00563631767837
20	cxOnePoint	0.15	2	7	1.87739568839	0.00383889038929
20	cxOnePoint	0.15	4	1	1.82739797055	0.010298011604
20	cxOnePoint	0.15	4	3	1.86649457799	0.00985171873226
20	cxOnePoint	0.15	4	5	1.87072058037	0.0034802498985
20	cxOnePoint	0.15	4	7	1.87286939477	0.00375610164013
20	cxOnePoint	0.15	6	1	1.82097969727	0.0101966840281
20	cxOnePoint	0.15	6	3	1.85426932357	0.00774008565094
20	cxOnePoint	0.15	6	5	1.86703849988	0.0102187664669
20	cxOnePoint	0.15	6	7	1.8722262379	0.00407497048197
20	cxOnePoint	0.15	8	1	1.81702233706	0.0126489805695
20	cxOnePoint	0.15	8	3	1.86352993117	0.00570482675158
20	cxOnePoint	0.15	8	5	1.86909524915	0.00425320906557
20	cxOnePoint	0.15	8	7	1.86472546147	0.00793500467939
20	cxOnePoint	0.175	2	1	1.83007786594	0.0036358360748
20	cxOnePoint	0.175	2	3	1.86821874088	0.00252588893528
20	cxOnePoint	0.175	2	5	1.87638826647	0.00770561058208
20	cxOnePoint	0.175	2	7	1.87738924228	0.00377931053672
20	cxOnePoint	0.175	4	1	1.82291731571	0.0158618687305
20	cxOnePoint	0.175	4	3	1.86600334227	0.00450489544436
20	cxOnePoint	0.175	4	5	1.87108344116	0.00621589943024
20	cxOnePoint	0.175	4	7	1.87360133682	0.00574879846702
20	cxOnePoint	0.175	6	1	1.81932611733	0.00339383418085
