mean_1	cx	mut_pb	t_size	k	max_val
10	cxUniform	0.15	2	5	1.88823490557
10	cxUniform	0.15	2	7	1.89692727602
10	cxUniform	0.15	4	1	1.85068707944
10	cxUniform	0.15	4	3	1.87765912912
10	cxUniform	0.15	4	5	1.8934754997
10	cxUniform	0.15	4	7	1.89486739127
10	cxUniform	0.15	6	1	1.83799555987
10	cxUniform	0.15	6	3	1.8806673436
10	cxUniform	0.15	6	5	1.88118594687
10	cxUniform	0.15	6	7	1.8922328095
10	cxUniform	0.15	8	1	1.84622259529
10	cxUniform	0.15	8	3	1.87275359738
10	cxUniform	0.15	8	5	1.89145820843
10	cxUniform	0.15	8	7	1.8926474031
10	cxUniform	0.175	2	1	1.8509086328
10	cxUniform	0.175	2	3	1.87877744719
10	cxUniform	0.175	2	5	1.89035525865
10	cxUniform	0.175	2	7	1.89219809124
10	cxUniform	0.175	4	1	1.85826316874
10	cxUniform	0.175	4	3	1.8715694574
10	cxUniform	0.175	4	5	1.8827886624
10	cxUniform	0.175	4	7	1.88589751076
10	cxUniform	0.175	6	1	1.8465637524
10	cxUniform	0.175	6	3	1.87221041878
10	cxUniform	0.175	6	5	1.88476357144
10	cxUniform	0.175	6	7	1.88849067296
10	cxUniform	0.175	8	1	1.83951119189
10	cxUniform	0.175	8	3	1.8755165562
10	cxUniform	0.175	8	5	1.89129852134
10	cxUniform	0.175	8	7	1.89015061591
10	cxUniform	0.2	2	1	1.86160325621
10	cxUniform	0.2	2	3	1.88656359787
10	cxUniform	0.2	2	5	1.89335148876
10	cxUniform	0.2	2	7	1.89438129018
10	cxUniform	0.2	4	1	1.85005430655
10	cxUniform	0.2	4	3	1.88470044584
10	cxUniform	0.2	4	5	1.88590213168
10	cxUniform	0.2	4	7	1.88825866449
10	cxUniform	0.2	6	1	1.8463696229
10	cxUniform	0.2	6	3	1.87226815917
10	cxUniform	0.2	6	5	1.88617537063
10	cxUniform	0.2	6	7	1.89947441858
10	cxUniform	0.2	8	1	1.84832650664
