mean_1	cx	mut_pb	t_size	avg_val	std_val
20	cxOnePoint	0.1	8	1.9338978143	0.00336539535873
20	cxOnePoint	0.125	2	1.93591375166	0.00170395791067
20	cxOnePoint	0.125	4	1.93605724515	0.00513352372144
20	cxOnePoint	0.125	6	1.93769009823	0.00270781402705
20	cxOnePoint	0.125	8	1.93731150196	0.00124286366219
20	cxOnePoint	0.15	2	1.93780200768	0.00611957081134
20	cxOnePoint	0.15	4	1.93982334339	0.00287879632588
20	cxOnePoint	0.15	6	1.93450807536	0.0099786266543
20	cxOnePoint	0.15	8	1.93377079509	0.00333524567097
20	cxOnePoint	0.175	2	1.93974980992	0.00239264475256
20	cxOnePoint	0.175	4	1.93757405891	0.00685419534017
20	cxOnePoint	0.175	6	1.93727252197	0.00390707450069
20	cxOnePoint	0.175	8	1.93991489276	0.0051465331901
20	cxOnePoint	0.2	2	1.94131503378	0.00721640255115
20	cxOnePoint	0.2	4	1.93555106708	0.00196262849424
20	cxOnePoint	0.2	6	1.93592424446	0.00514834989851
20	cxOnePoint	0.2	8	1.93714989753	0.00329058673323
20	cxTwoPoint	0.05	2	1.93945023729	0.00532198949504
20	cxTwoPoint	0.05	4	1.93902000153	0.00538002933717
20	cxTwoPoint	0.05	6	1.93274631485	0.00726581093865
20	cxTwoPoint	0.05	8	1.93118385392	0.00151146443804
20	cxTwoPoint	0.075	2	1.93783534292	0.00546937945753
20	cxTwoPoint	0.075	4	1.93487845061	0.00318364952627
20	cxTwoPoint	0.075	6	1.93095609607	0.00475809548733
20	cxTwoPoint	0.075	8	1.93270669772	0.00423476529891
20	cxTwoPoint	0.1	2	1.93979824144	0.00587943040427
20	cxTwoPoint	0.1	4	1.93231764095	0.0017350777332
20	cxTwoPoint	0.1	6	1.9366009834	0.00557769647955
20	cxTwoPoint	0.1	8	1.93225927976	0.00173848659027
20	cxTwoPoint	0.125	2	1.94076789815	0.00299272347277
20	cxTwoPoint	0.125	4	1.93595593821	0.00226527146679
20	cxTwoPoint	0.125	6	1.93659497478	0.00174184688843
20	cxTwoPoint	0.125	8	1.93603794359	0.00751630577017
20	cxTwoPoint	0.15	2	1.93466272958	0.00356046861006
20	cxTwoPoint	0.15	4	1.94035914774	0.00389383631582
20	cxTwoPoint	0.15	6	1.93450057255	0.00382749723817
20	cxTwoPoint	0.15	8	1.93343070031	0.00228348288661
20	cxTwoPoint	0.175	2	1.94106018619	0.00512171987674
20	cxTwoPoint	0.175	4	1.93596272218	0.00390883618505
20	cxTwoPoint	0.175	6	1.93458619224	0.00464094986317
20	cxTwoPoint	0.175	8	1.93345946877	0.0054946743976
