mean_1	cx	mut_pb	t_size	max_val
30	cxOnePoint	0.15	8	1.95053737122
30	cxOnePoint	0.175	2	1.94996994968
30	cxOnePoint	0.175	4	1.9437568097
30	cxOnePoint	0.175	6	1.94609451639
30	cxOnePoint	0.175	8	1.93618434828
30	cxOnePoint	0.2	2	1.95212386937
30	cxOnePoint	0.2	4	1.94977756424
30	cxOnePoint	0.2	6	1.9437445536
30	cxOnePoint	0.2	8	1.93858404245
30	cxTwoPoint	0.05	2	1.94939724406
30	cxTwoPoint	0.05	4	1.94224349526
30	cxTwoPoint	0.05	6	1.95092243931
30	cxTwoPoint	0.05	8	1.94100007212
30	cxTwoPoint	0.075	2	1.94639924677
30	cxTwoPoint	0.075	4	1.94169282643
30	cxTwoPoint	0.075	6	1.95066765619
30	cxTwoPoint	0.075	8	1.94853277627
30	cxTwoPoint	0.1	2	1.94748517511
30	cxTwoPoint	0.1	4	1.93832539543
30	cxTwoPoint	0.1	6	1.94657301798
30	cxTwoPoint	0.1	8	1.93624365105
30	cxTwoPoint	0.125	2	1.94670879738
30	cxTwoPoint	0.125	4	1.9472054752
30	cxTwoPoint	0.125	6	1.94999459312
30	cxTwoPoint	0.125	8	1.94902454459
30	cxTwoPoint	0.15	2	1.95387388207
30	cxTwoPoint	0.15	4	1.94187990474
30	cxTwoPoint	0.15	6	1.94125765907
30	cxTwoPoint	0.15	8	1.94956349093
30	cxTwoPoint	0.175	2	1.94211465799
30	cxTwoPoint	0.175	4	1.94728940076
30	cxTwoPoint	0.175	6	1.94868807979
30	cxTwoPoint	0.175	8	1.93626861144
30	cxTwoPoint	0.2	2	1.94798386484
30	cxTwoPoint	0.2	4	1.94494983819
30	cxTwoPoint	0.2	6	1.94706161982
30	cxTwoPoint	0.2	8	1.9474389091
30	cxUniform	0.05	2	1.9501922031
30	cxUniform	0.05	4	1.95121173423
30	cxUniform	0.05	6	1.95168858196
30	cxUniform	0.05	8	1.95018380277
30	cxUniform	0.075	2	1.95236755643
30	cxUniform	0.075	4	1.95057495943
30	cxUniform	0.075	6	1.95233913805
30	cxUniform	0.075	8	1.94226752367
30	cxUniform	0.1	2	1.94815347615
